Plan,Category,Item,Detail
瘋大港,售票平台3.5%,適用期間：2025/12/16~2025/12/18、拓元售票,活動回饋適用期間僅限2025/12/16~2025/12/18
瘋大港,周邊商品預購3.5%,適用期間：2025/12/16~2026/3/23、大港開唱周邊商品預購,Apple媒體服務內容含 App Store / Apple Music / iCloud 等服務，不含 Apple Store 之交易
瘋大港,指定高雄住宿3.5%,適用期間：2025/12/16~2026/3/23、【城市商旅】真愛館、駁二館、麗尊酒店、帕可麗酒店、【和逸飯店】高雄中山館、【旅居文旅】一心館、七賢館、亞灣館、【秝芯旅店】駁二館、六合館、鈞怡大飯店、【夏優旅居】駁二館、【華園大飯店】草衙館、【捷絲旅】高雄中正館,"1. 消費回饋不含以下類型之商品或服務：黃金、白銀等貴金屬、珠寶、遊戲點數、各類實體或電子票券（如百貨禮券、餐飲券、電影票券、住宿券、提貨券）。

2. 不適用回饋之商店名單舉例：遊戲點數旗艦店、蝦皮票券服務館內所有品項及賣場…等，包含但不限於以上商店。持卡人於上列之賣場結帳刷CUBE卡，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，該賣場之所有消費(含一般商品)僅將回饋0.3%小樹點(信用卡)。"
瘋大港,旅遊平台3.5%,適用期間：2025/12/16~2026/3/23、Klook,
瘋大港,指定交通3.5%,適用期間：2026/2/21~2026/3/23、台灣高鐵、台灣鐵路局,"1. 高鐵消費回饋通路包含：高鐵網站、高鐵APP、高鐵臨櫃、高鐵自動售票機，不含補票、車上推車消費; 實際回饋以本行系統判定為高鐵消費為準。

2. 本活動以實際成功購票計算，以活動期間內「消費日」及「實際刷卡消費金額」為計算基準。若付款失敗、取消交易、退票等，該筆高鐵刷卡金額將不予回饋。 1. 台鐵消費回饋通路包含：台鐵網站、台鐵APP、台鐵臨櫃、台鐵自動售票機購買車票，不含補票、車上推車消費、票券加值、台鐵站內消費; 實際回饋以本行系統判定為台鐵購票消費為準。

2. 本活動以實際成功購票計算，以活動期間內「消費日」及「實際刷卡消費金額」為計算基準。若付款失敗、取消交易、退票等，該筆台鐵刷卡金額將不予回饋。"
瘋大港,周邊商品10%,適用期間：2026/3/21~2026/3/23、大港開唱現場周邊商品購買,
瘋大港,大港開唱周邊商家10%,適用期間：2026/3/21~2026/3/23、大港周邊指定星巴克門市、大港倉、棧二庫、【左腳右腳經典按摩會館】陽明會館、新田會館、自由會館、ChargeSPOT、詳細活動通路資訊敬請期待！,
玩數位,AI工具,ChatGPT、Canva、Claude、Cursor、Duolingo、Gamma、Gemini、Notion、Perplexity、Speak,
玩數位,數位/串流平台,Apple 媒體服務、Google Play、Disney+、Netflix、Spotify、YouTube Premium、Max,Apple媒體服務內容含 App Store / Apple Music / iCloud 等服務，不含 Apple Store 之交易
玩數位,網購平台,蝦皮購物、momo購物網、PChome 24h購物(不含儲值及電子票券)、小樹購(不含電子票券),"1. 消費回饋不含以下類型之商品或服務：黃金、白銀等貴金屬、珠寶、遊戲點數、各類實體或電子票券（如百貨禮券、餐飲券、電影票券、住宿券、提貨券）。

2. 不適用回饋之商店名單舉例：遊戲點數旗艦店、蝦皮票券服務館內所有品項及賣場…等，包含但不限於以上商店。持卡人於上列之賣場結帳刷CUBE卡，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，該賣場之所有消費(含一般商品)僅將回饋0.3%小樹點(信用卡)。 1.PChome 24h購物各通路含線上購物、24h購物、手機APP、PChome 24h書店，不含商店街、支付連PChomePay、海外代購及PChome旅遊，亦不包含使用任何平台代扣繳費、購買廣告等。

2.PChome 24h購物消���回饋排除PChome儲值及電子票券商品之整筆訂單消費。即持卡人於PChome 24h購物之購物車結帳刷CUBE卡且該筆購物車內商品含有PChome儲值或電子票券等排除商品，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，訂單之所有商品消費(含一般商品)僅將回饋0.3%小樹點(信用卡)回饋。

3.一般商品建議與排除商品(PChome儲值及電子票券)分開購物車結帳，以確保消費能獲得「玩數位」權益方案指定消費回饋。 1.小樹購消費回饋排除電子票券商品之整筆訂單消費。即持卡人於小樹購之購物車結帳刷CUBE卡且該筆購物車內商品含有電子票券排除商品，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，訂單之所有商品消費(含一般商品)僅將回饋0.3%小樹點(信用卡)回饋。

2.一般商品建議與排除商品(電子票券)分開購物車結帳，以確保消費能獲得「玩數位」權益方案指定消費回饋。"
玩數位,國際電商,Coupang 酷澎(台灣)、淘寶/天貓,
樂饗購,國內指定百��,遠東SOGO百貨、遠東Garden City、新光三越、遠東百貨、台北101、BELLAVITA、微風廣場、統一時代台北店(不含DREAM PLAZA)、誠品生活、ATT 4 FUN、京站、美麗華、NOKE忠泰樂生活、大葉高島屋、Mitsui Shopping Park LaLaport(南港、台中)、宏匯廣場、台茂購物中心、大江國際購物中心、Big City遠東巨城購物中心、中友百貨、廣三SOGO、南紡購物中心、耐斯廣場、夢時代、漢神百貨、漢神巨蛋、新月廣場、CITYLINK、秀泰生活、環球購物中心、太平洋百貨、華泰名品城、SKM Park、MITSUI OUTLET PARK(林口、台中港、台南),"限切換【樂饗購】權益方案，即享指定消費小樹點(信用卡)回饋；若切換其他權益方案，將依一般消費0.3%回饋計算。
遠東SOGO百貨部分櫃位/購買禮券/商品券及菸類商品/LINE Pay/藍新支付平台之刷卡消費恕無法參加本活動，請依各櫃位資訊及現場活動公告為準。 認列之消費不包含DREAM PLAZA之消費。 認列之消費不包含誠品線上購物之消費。"
樂饗購,國內外送平台,Uber Eats、foodpanda,不含Uber One會員費用
樂饗購,國內餐飲,國內餐飲(不含餐券)、連鎖速食－麥當勞,"「國內餐飲」認列之餐廳：


限交易地點為臺灣之餐飲消費且依收單機構所設定登錄之餐廳分類代碼(MCC code為5811、5812、5814、5462)為判斷依據。餐廳回饋係以刷卡簽單上之特約商店名稱認定，請依刷卡簽單或CUBE App消費資訊中查看為準，非以發票上列示之商家名稱為依據。
本活動回饋不包含購買餐券，如單筆消費NT$10萬(含)以上之饗賓集團禮券。本行有權檢視各交易行為，持卡人若不符合或違反本活動規定事項者，經本行查證後將逕行扣回已回饋之小樹點(信用卡)。
本活動回饋不適用：飯店/酒店/旅館/KTV/酒吧/俱樂部/商場(如家樂福、車站商場、機場美食街、國道服務區美食街)所設立之餐廳、夜總會、菸酒販賣商。
倘因該特約商店登錄於收單機構之代碼與其營業項目不相符，導致未能正確判斷，消費則不列入本回饋計算。 限選定「樂饗購」權益方案，方可獲指定消費回饋，選定其他方案則不予回饋。
不適用設立於百貨、商場(含車站商場、機場美食街、國道服務區美食街)等實體門市。"
樂饗購,國內藥妝,康是美、屈臣氏,適用於「康是美實體門市及康是美網購eShop(不含黃金等貴金屬、儲值、票券；若訂單內含黃金等貴金屬、儲值、票券等將整筆訂單不適用樂饗購最高3.3%小樹點(信用卡)回饋，僅適用原一般消費0.3%小樹點(信用卡)回饋)」消費，惟實體門市不含百貨、商場門市，實際排外門市請依康是美規定為準。 適用於「屈臣氏實體門市、官方網路商店及屈臣氏APP」消費，惟實體門市不含百貨、商場門市，實際排外門市請依屈臣氏規定為準。
趣旅行,指定海外消費,海外實體消費(含國外餐飲、飯店到店付款等),"1. 指交易地點非台灣或交易幣別非台幣，使用實體信用卡過卡或感應式刷卡(含使用該卡加入Apple Pay、Samsung Pay、Google Pay、Garmin Pay消費，且須為面對面交易，交通卡儲值不列入計算)。

2. 「國外餐飲」認列之餐廳：限交易地點非臺灣或交易幣別非台幣之餐飲消費且依收單機構所設定登錄之餐廳分類代碼(MCC code為5811、5812、5814)為判斷依據。倘因該特約商店登錄於收單機構之代碼與其營業項目不相符，導致未能正確判斷，消費則不列入本回饋計算。

3. 排除項目：醫療事業(包括但不限於就醫、醫學美容)、博奕類交易(如: 賭博、賭場消費、賭博籌碼等)、飛機/郵輪上之消費、未經主管機關核准之境外投資交易平台(包括但不限於eToro)、其他經本行公告排除之項目(包括但不限於保費)。"
趣旅行,日本指定遊樂園,東京迪士尼樂園、東京華納兄弟哈利波特影城、大阪環球影城(USJ),"1. 含遊樂園內商店實體消費及門票預訂(限官網或Tokyo Disney Resort App購票，不含旅行社、線上旅遊平台購票，如欲於旅行社、線上旅遊平台購票，請參考【趣旅行】之指定旅行社、旅遊/訂房平台進行消費)，不含遊樂園外之市區街邊店(如迪士尼樂園外之DISNEY STORE等)。

2. 消費幣別需為日圓或消費國別為日本，並依據特約商店與收單機構登錄之特店名稱為「Tokyo Disney Resort」判斷。

3. 不含遊樂園附設飯店(如東京迪士尼樂園大飯店、東京迪士尼度假區玩具總動員飯店、東京迪士尼樂祥飯店、迪士尼大使大飯店、東京迪士尼海洋觀海景大飯店等)，如欲預訂附設飯店住宿，請參考【趣旅行】指定飯店集團之「全球迪士尼飯店」進行消費。 1. 含遊樂園內實體消費及門票預訂(限Warner Bros. Studio Tour Tokyo官網，不含旅行社、線上旅遊平台購票，如欲於旅行社、線上旅遊平台購票，請參考【趣旅行】之指定旅行社、旅遊/訂房平台進行消費)，不含遊樂園外之市區街邊店。

2. 消費幣別需為日圓或消費國別為日本，並依據特約商店與收單機構登錄之特店名稱為「Warner Bros. Studios」判斷。

3.不含遊樂園附設飯店。 1. 含遊樂園內實體消費及門票(限USJ官網及官方APP，不含旅行社、線上旅遊平台購票，如欲於旅行社、線上旅遊平台購票，請參考【趣旅行】之指定旅行社、旅遊/訂房平台進行消費)，不含遊樂園外之市區街邊店。

2. 消費幣別需為日圓或消費國別為日本，並依據特約商店與收單機構登錄之特店名稱為「USJ」判斷。

3. 不含遊樂園附設飯店。"
趣旅行,指定國內外交通,Apple錢包指定交通卡 (SUICA 、PASMO、ICOCA)、Uber、Grab、台灣高鐵、yoxi、台灣大車隊、iRent、和運租車、格上租車,"限以「Apple 錢包」加入指定交通卡進行綁定儲值。 Uber含國內外搭乘。 限搭乘使用，不含Grab訂閱費 1. 高鐵消費回饋通路包含：高鐵網站、高鐵APP、高鐵臨櫃、高鐵自動售票機，不含補票、車上推車消費; 實際回饋以本行系統判定為高鐵消費為準。

2. 本活動以實際成功購票計算，以活動期間內「消費日」及「實際刷卡消費金額」為計算基準。若付款失敗、取消交易、退票等，該筆高鐵刷卡金額將不予回饋。 僅限App短程叫車服務，不含「機場接送」、「代駕服務」。"
趣旅行,指定航空公司,中華航空、長榮航空、星宇航空、台灣虎航、國泰航空、樂桃航空、阿聯酋航空、酷航、捷星航空、日本航空、ANA全日空、亞洲航空、聯合航空、新加坡航空、越捷航空、大韓航空、達美航空、土耳其航空、卡達航空、法國航空,不含「華信航空」 不含「立榮航空」 不含「AirAsia Move」消費 不含「韓亞航空」
趣旅行,指定飯店住宿,國內飯店住宿、星野集團、全球迪士尼飯店、東橫INN,"「國內飯店住宿」：

包含台、澎、金、馬地區民宿、青年旅館、連鎖飯店等訂房，不包含樂園套票、俱樂部、租期30天以上之長租公寓、飯店/酒店/旅館所附設之餐廳、美食街、代訂服務或相關精品商店等(不包含於旅行社預訂飯店，如欲於旅行社訂購飯店住宿相關商品，請參考列表中指定旅行社進行消費)。若符合上述條件後仍有疑義，再依收單機構所設定登錄之住宿相關分類代碼 (MCC code為3500~3999、7011、7012、7032、7033) 為判斷依據。倘因該特約商店登錄於收單機構之代碼與其營業項目不相符，導致未能正確判斷消費，則不列入本回饋計算。 限訂房，不含機加酒、套票等。 限訂房，不含套票。"
趣旅行,指定旅遊/訂房平台,KKday、Klook、Agoda、Airbnb、Booking.com、Trip.com,不包含「租車」、「景點」、「活動」、「計程車」。
趣旅行,指定旅行社,ezTravel易遊網、雄獅旅遊、可樂旅遊、東南旅遊、五福旅遊、燦星旅遊、山富旅遊、長汎假期、鳳凰旅行社、Ezfly易飛網、理想旅遊、永利旅行社、三賀旅行社,
集精選,充電站,U-POWER、EVOASIS、EVALUE、TAIL、iCharging,"1. 本活動回饋之中油「直營站」加油站限於中油網站公告之中油直營站為準，排除網路交易、儲值卡、錢包儲值交易及第三方支付綁卡掃碼付款交易(例如: 中油Pay、街口支付、LINE Pay、台灣Pay、悠遊付、Pi拍錢包、橘子支付、支付寶等)。

2. 本活動回饋不適用加氣站及任何不屬於加油站內之加油消費；若付款失敗、取消交易、退貨，該筆加油金額將不予回饋。"
集精選,停車費,車麻吉(不含加油、充電)、uTagGo(不含月租停車),限uTagGo停車費線上繳及uTagGo自動繳的全台路邊停車、合作停車場停車費，不包含月租停車費。
集精選,量販超市,家樂福、LOPIA台灣、全聯福利中心 實體門市(���含大全聯),"1. 本活動不適用於：家樂福線上商城、會員換購、菸類、酒類商品、代收代售消費、藥局藥品、嬰幼兒奶粉與配方食品、團購商品、家樂福量販商品提貨券、儲值禮物卡、儲值家樂福錢包或使用儲值金消費、虛擬儲值(如電話預付卡、線上遊戲點數卡、KKBOX等)、安裝運費、台北市/新北市專用垃圾袋與環保兩用袋、預購、大宗採購(依家樂福定義)、美食街、商店街之消費金額之消費金額。

2. 持卡人若不符合或違反本活動規定事項者，本行保留取消活動資格的權利，已取得之回饋小樹點(信用卡)本行將於次月逕行扣回。

3. 國泰世華銀行及家樂福有權檢視各交易行為，若持卡人涉及蓄意人為操作等不正當行為，國泰世華銀行及家樂福除有排除該不正當行為人參與本活動之資格外，亦將依法對該不正當行為人進行主張。 1. 本活動僅限於台灣地區之LOPIA超市消費，不含附屬餐廳之消費，如「肉割烹-黑泉」等。

2. 本活動不適用於：會員換購、菸類商品、代收代售消費、藥局藥品、嬰幼兒奶粉與配方食品、團購商品之消費金額。

3. 持卡人若不符合或違反本活動規定事項者，本行保留取消活動資格的權利，已取得之回饋小樹點(信用卡)本行將於次月逕行扣回。

4. 國泰世華銀行及日商樂比亞有權檢視各交易行為，若持卡人涉及蓄意人為操作等不正當行為，國泰世華銀行及日商樂比亞除有排除該不正當行為人參與本活動之資格外，亦將依法對該不正當行為人進行主張。 1. 「全聯福利中心實體門市」店內消費(含PX Pay綁卡交易，不含全支付綁卡交易)，排除全聯隔日達、全聯小時達、全聯全電商、菸品、代收代售、一歲以下嬰兒奶粉、印花活動商品、積分活動商品、點數換購商品、禮券購買消費(含PX Pay App線上購買樂透卡/禮卡)，限選定「集精選」方案方可獲指定消費回饋，選定其他方案則不予回饋。

2. 不含高速公路服務區、醫院美食街及企業辦公大樓等場域之門市。

3. 不含「大全聯」消費。"
集精選,指定加油,台灣中油-直營站,"1. 本活動回饋之中油「直營站」加油站限於中油網站公告之中油直營站為準，排除網路交易、儲值卡、錢包儲值交易及第三方支付綁卡掃碼付款交易(例如: 中油Pay、街口支付、LINE Pay、台灣Pay、悠遊付、Pi拍錢包、橘子支付、支付寶等)。

2. 本活動回饋不適用加氣站及任何不屬於加油站內之加油消費；若付款失敗、取消交易、退貨，該筆加油金額將不予回饋。"
集精選,指定超商,7-ELEVEN (7-11) 實體門市、全家便利商店 實體門市,"1. 「7-ELEVEN實體門市」(含OPEN錢包於店內支付、行動隨時取)，排除菸品、隨取卡、代收代售消費及會員訂閱制年費，限選定「集精選」方案方可獲指定消費回饋，選定其他方案則不予回饋。非7-ELEVEN實體門市及icash pay不適用。

2. 高速公路服務區、醫院美食街及企業辦公大樓等場域之門市不適用。 1.「全家便利商店實體門市」(含My FamiPay)於店內消費，排除菸品、代收代售、儲值消費、全+1商城以My FamiPay支付、全家行動購、好享券支付，限選定「集精選」方案方可獲指定消費回饋，選定其他方案則不予回饋。

2. 高速公路服務區、醫院美食街及企業辦公大樓等場域之門市不適用。

3. 全盈支付不適用。Fami錢包APP儲值不回饋（全家認列儲值為代收故不回饋）。"
集精選,生活家居,IKEA宜家家居,
童樂匯,如何解鎖限定權益？,活動期間：2026/1/1 - 5/20，每月20日(含)前客戶須符合以下2項條件，次月1日起可切換至童樂匯。、．條件一：客戶與其未成年子女須持有本行帳戶。、． 條件二：客戶須持有有效CUBE信用卡正卡。,
童樂匯,指定私校學費 1%,台北美國學校、台北歐洲學校、台北市私立道明外僑學校、馬禮遜學校、康乃薾美國學校、台北私立立人國際國小、康橋國際學校、華盛頓小學、復興實驗高中、維多利亞雙語中小學、高雄美國學校,（秀岡校區、青山校區、新竹校區、林口校區、康軒校區、內湖校區）
童樂匯,親子餐廳 5%,雞湯大叔、YAYOI彌生軒(限街邊店)、大戶屋、甲蟲秘境、貳樓、大樹先生的家、Money Jump 媽妳講親子餐廳、小島3.5度親子餐廳、Zone Cafe 弄咖啡親子餐廳、小院子·台食茶館,
童樂匯,嬰幼童品牌官網 10%,10mois台灣官網、Mamas&Papas台灣官網、古北町台灣官網、Tiger Family台灣官網、Little Wonders台灣官網、Seahorse Originals台灣官網,品牌官網 品牌官網 品牌官網 品牌官網 品牌官網 品牌官網
童樂匯,五感體驗課 10%,朱宗慶打擊樂教學系統、雲門舞集舞蹈教室、Yamaha音樂教室、TutorABC Junior、SKI SCHOOL(限台北及高雄學校)、Etalking Kids、iSKI滑雪俱樂部、汐游寶寶/風城游汐谷,"優惠適用：實體門市及官網，品牌官網。 優惠適用：實體門市及官網，品牌官網。 1. 僅限紅葉蛋糕指定網站(仁愛總店官方直營網站)刷卡購買宅配商品，不含實體門市。

指定網站為以下：https://www.hongyehcake.com.tw/。



2. 以下分店網站不適用 https://www.hongyeh.com.tw/。"
童樂匯,親子育樂5%,Klook、東京迪士尼樂園、大阪環球影城(USJ)、麗寶樂園、六福村主題樂園、九族文化村、劍湖山世界主題樂園、義大遊樂世界、小叮噹科學園區主題樂園,"當您訂購旅遊商品(如國內外訂房、旅行社預訂飯店及行程)時，若採先訂後付或到店付款等支付方式，飯店可能會進行信用卡預授權，此時飯店還不會進行實際信用卡扣款交易，請務必留意需於飯店實際扣款當日切換為【童樂匯】權益，若實際扣款當日未切換為【童樂匯】權益，將導致該筆消費不適用童樂匯權益，恕無法再以任何形式要求追溯或提供該筆刷卡金額之小樹點(信用卡)回饋。 1. 含遊樂園內商店實體消費及門票預訂(限官網或Tokyo Disney Resort App購票)，不含遊樂園外之市區街邊店(如迪士尼樂園外之DISNEY STORE等)。

2. 消費幣別需為「日圓」或消費國別為「日本」，並依據特約商店與收單機構登錄之特店名稱為「Tokyo Disney Resort」判斷。

3. 不含遊樂園附設飯店(如東京迪士尼樂園大飯店、東京迪士尼度假區玩具總動員飯店、東京迪士尼樂祥飯店、迪士尼大使大飯店、東京迪士尼海洋觀海景大飯店等)。 1. 含遊樂園內實體消費及門票(限USJ官網及官方APP，不含旅行社、線上旅遊平台購票，如欲於旅行社、線上旅遊平台購票，請參考【趣旅行】之指定旅行社、旅遊/訂房平台進行消費)，不含遊樂園外之市區街邊店。

2. 消費幣別需為日圓或消費國別為日本，並依據特約商店與收單機構登錄之特店名稱為「USJ」判斷。

3. 不含遊樂園附設飯店。 僅限「遊樂園購票(含現場或官網)」，且依收單機構所設定登錄之遊樂園分類代碼(MCC code為7996)為判斷依據；不適用樂園內實體消費。"
童樂匯,親子飯店 5%,台北喜來登大飯店、蘭城晶英酒店、台南晶英酒店、礁溪寒沐酒店、大溪笠復威斯汀度假酒店、煙波大飯店新竹湖濱館、麗寶福容大飯店、雲品溫泉酒店、和逸飯店(台南西門館、桃園館)、義大皇家酒店、高雄萬豪酒店、墾丁凱撒大飯店、花蓮遠雄悅來大飯店、瑞穗天合國際觀光酒店、六福莊、宜蘭礁溪鳳凰酒店、桃園名人堂花園大飯店,
童樂匯,母嬰用品店 5%,卡多摩嬰童館、樂兒屋、寶齡婦幼館/ 步步樂BuBuLuv、安琪兒婦嬰百貨、宜兒樂、麗兒采家、Taobaby濤寶日記、俏媽咪、媽媽好,
